,id,kanji,kana,hiragana,level,haskanji
234,234,コップ,コップ,こっぷ,n5,False
235,235,今年,ことし,ことし,n5,True
236,236,言葉,ことば,ことば,n5,True
237,237,子供,こども,こども,n5,True
238,238,此の,この,この,n5,True
239,239,ご飯,ごはん,ごはん,n5,True
240,240,コピー,コピー,こぴー,n5,False
241,241,困る,こまる,こまる,n5,True
242,242,此れ,これ,これ,n5,True
243,243,今月,こんげつ,こんげつ,n5,True
244,244,今週,こんしゅう,こんしゅう,n5,True
245,245,こんな,こんな,こんな,n5,False
246,246,今晩,こんばん,こんばん,n5,True
247,247,さあ,さあ,さあ,n5,False
248,248,財布,さいふ,さいふ,n5,True
249,249,魚,さかな,さかな,n5,True
250,250,先,さき,さき,n5,True
251,251,咲く,さく,さく,n5,True
252,252,差す,さす,さす,n5,True
253,253,雑誌,ざっし,ざっし,n5,True
254,254,砂糖,さとう,さとう,n5,True
255,255,寒い,さむい,さむい,n5,True
256,256,再来年,さらいねん,さらいねん,n5,True
257,257,三,さん,さん,n5,True
258,258,散歩,さんぽ,さんぽ,n5,True
259,259,四,し,し,n5,True
260,260,塩,しお,しお,n5,True
261,261,然し,しかし,しかし,n5,True
262,262,時間,じかん,じかん,n5,True
263,263,仕事,しごと,しごと,n5,True
264,264,辞書,じしょ,じしょ,n5,True
265,265,静か,しずか,しずか,n5,True
266,266,下,した,した,n5,True
267,267,七,しち,しち,n5,True
268,268,質問,しつもん,しつもん,n5,True
269,269,自転車,じてんしゃ,じてんしゃ,n5,True
270,270,自動車,じどうしゃ,じどうしゃ,n5,True
271,271,死ぬ,しぬ,しぬ,n5,True
272,272,字引,じびき,じびき,n5,True
273,273,自分,じぶん,じぶん,n5,True
274,274,閉まる,しまる,しまる,n5,True
275,275,締める,しめる,しめる,n5,True
276,276,閉める,しめる,しめる,n5,True
277,277,じゃあ,じゃあ,じゃあ,n5,False
278,278,写真,しゃしん,しゃしん,n5,True
279,279,シャツ,シャツ,しゃつ,n5,False
280,280,シャワー,シャワー,しゃわー,n5,False
281,281,十,じゅう,じゅう,n5,True
282,282,授業,じゅぎょう,じゅぎょう,n5,True
283,283,宿題,しゅくだい,しゅくだい,n5,True
284,284,上手,じょうず,じょうず,n5,True
285,285,丈夫,じょうぶ,じょうぶ,n5,True
286,286,醤油,しょうゆ,しょうゆ,n5,True
287,287,食堂,しょくどう,しょくどう,n5,True
288,288,知る,しる,しる,n5,True
289,289,白,しろ,しろ,n5,True
290,290,白い,しろい,しろい,n5,True
291,291,新聞,しんぶん,しんぶん,n5,True
292,292,水曜日,すいようび,すいようび,n5,True
293,293,吸う,すう,すう,n5,True
294,294,スカート,スカート,すかーと,n5,False
295,295,好き,すき,すき,n5,True
296,296,少ない,すくない,すくない,n5,True
297,297,直ぐに,すぐに,すぐに,n5,True
298,298,少し,すこし,すこし,n5,True
299,299,涼しい,すずしい,すずしい,n5,True
300,300,ストーブ,ストーブ,すとーぶ,n5,False
301,301,スプーン,スプーン,すぷーん,n5,False
302,302,スポーツ,スポーツ,すぽーつ,n5,False
303,303,ズボン,ズボン,ずぼん,n5,False
304,304,住む,すむ,すむ,n5,True
305,305,スリッパ,スリッパ,すりっぱ,n5,False
306,306,為る,する,する,n5,True
307,307,座る,すわる,すわる,n5,True
308,308,背,せ,せ,n5,True
309,309,セーター,セーター,せーたー,n5,False
310,310,生徒,せいと,せいと,n5,True
311,311,石鹸,せっけん,せっけん,n5,True
312,312,背広,せびろ,せびろ,n5,True
313,313,狭い,せまい,せまい,n5,True
314,314,千,せん,せん,n5,True
315,315,先月,せんげつ,せんげつ,n5,True
316,316,先週,せんしゅう,せんしゅう,n5,True
317,317,先生,せんせい,せんせい,n5,True
318,318,洗濯,せんたく,せんたく,n5,True
319,319,全部,ぜんぶ,ぜんぶ,n5,True
320,320,掃除,そうじ,そうじ,n5,True
321,321,然うして,そうして,そうして,n5,True
322,322,其処,そこ,そこ,n5,True
323,323,然して,そして,そして,n5,True
324,324,其方,そちら,そちら,n5,True
325,325,外,そと,そと,n5,True
326,326,其の,その,その,n5,True
327,327,側,そば,そば,n5,True
328,328,空,そら,そら,n5,True
329,329,其れ,それ,それ,n5,True
330,330,其れから,それから,それから,n5,True
331,331,其れでは,それでは,それでは,n5,True
332,332,大学,だいがく,だいがく,n5,True
333,333,大使館,たいしかん,たいしかん,n5,True
334,334,大丈夫,だいじょうぶ,だいじょうぶ,n5,True
335,335,大好き,だいすき,だいすき,n5,True
336,336,大切,たいせつ,たいせつ,n5,True
337,337,台所,だいどころ,だいどころ,n5,True
338,338,大変,たいへん,たいへん,n5,True
339,339,高い,たかい,たかい,n5,True
340,340,沢山,たくさん,たくさん,n5,True
341,341,タクシー,タクシー,たくしー,n5,False
342,342,出す,だす,だす,n5,True
343,343,立つ,たつ,たつ,n5,True
344,344,縦,たて,たて,n5,True
345,345,建物,たてもの,たてもの,n5,True
346,346,楽しい,たのしい,たのしい,n5,True
347,347,頼む,たのむ,たのむ,n5,True
348,348,煙草,たばこ,たばこ,n5,True
349,349,多分,たぶん,たぶん,n5,True
350,350,食べ物,たべもの,たべもの,n5,True
351,351,食べる,たべる,たべる,n5,True
352,352,卵,たまご,たまご,n5,True
353,353,誰,だれ,だれ,n5,True
354,354,誰か,だれか,だれか,n5,True
355,355,誕生日,たんじょうび,たんじょうび,n5,True
356,356,段々,だんだん,だんだん,n5,True
357,357,小さい,ちいさい,ちいさい,n5,True
358,358,小さな,ちいさな,ちいさな,n5,True
359,359,近い,ちかい,ちかい,n5,True
360,360,違う,ちがう,ちがう,n5,True
361,361,近く,ちかく,ちかく,n5,True
362,362,地下鉄,ちかてつ,ちかてつ,n5,True
363,363,地図,ちず,ちず,n5,True
364,364,茶色,ちゃいろ,ちゃいろ,n5,True
365,365,茶碗,ちゃわん,ちゃわん,n5,True
366,366,丁度,ちょうど,ちょうど,n5,True
367,367,一寸,ちょっと,ちょっと,n5,True
368,368,使う,つかう,つかう,n5,True
369,369,疲れる,つかれる,つかれる,n5,True
370,370,次,つぎ,つぎ,n5,True
371,371,着く,つく,つく,n5,True
372,372,机,つくえ,つくえ,n5,True
373,373,作る,つくる,つくる,n5,True
374,374,付ける,つける,つける,n5,True
375,375,勤める,つとめる,つとめる,n5,True
376,376,詰らない,つまらない,つまらない,n5,True
377,377,冷たい,つめたい,つめたい,n5,True
378,378,強い,つよい,つよい,n5,True
379,379,手,て,て,n5,True
380,380,テープ,テープ,てーぷ,n5,False
381,381,テーブル,テーブル,てーぶる,n5,False
382,382,テープレコーダー,テープレコーダー,てーぷれこーだー,n5,False
383,383,出かける,でかける,でかける,n5,True
384,384,手紙,てがみ,てがみ,n5,True
385,385,出来る,できる,できる,n5,True
386,386,出口,でぐち,でぐち,n5,True
387,387,テスト,テスト,てすと,n5,False
388,388,では,では,では,n5,False
389,389,デパート,デパート,でぱーと,n5,False
390,390,でも,でも,でも,n5,False
391,391,出る,でる,でる,n5,True
