kanji,kana,hirakana
銃,じゅう,じゅう
周囲,しゅうい,しゅうい
収穫,しゅうかく,しゅうかく
週間,しゅうかん,しゅうかん
宗教,しゅうきょう,しゅうきょう
重視,じゅうし,じゅうし
就職,しゅうしょく,しゅうしょく
修正,しゅうせい,しゅうせい
渋滞,じゅうたい,じゅうたい
重大,じゅうだい,じゅうだい
住宅,じゅうたく,じゅうたく
集団,しゅうだん,しゅうだん
集中,しゅうちゅう,しゅうちゅう
収入,しゅうにゅう,しゅうにゅう
住民,じゅうみん,じゅうみん
重要,じゅうよう,じゅうよう
修理,しゅうり,しゅうり
主義,しゅぎ,しゅぎ
宿泊,しゅくはく,しゅくはく
手術,しゅじゅつ,しゅじゅつ
首相,しゅしょう,しゅしょう
手段,しゅだん,しゅだん
主張,しゅちょう,しゅちょう
出身,しゅっしん,しゅっしん
出席,しゅっせき,しゅっせき
出発,しゅっぱつ,しゅっぱつ
出版,しゅっぱん,しゅっぱん
首都,しゅと,しゅと
主婦,しゅふ,しゅふ
主要,しゅよう,しゅよう
需要,じゅよう,じゅよう
種類,しゅるい,しゅるい
順,じゅん,じゅん
瞬間,しゅんかん,しゅんかん
順調,じゅんちょう,じゅんちょう
順番,じゅんばん,じゅんばん
準備,じゅんび,じゅんび
使用,しよう,しよう
小,しょう,しょう
章,しょう,しょう
賞,しょう,しょう
上,じょう,じょう
障害,しょうがい,しょうがい
奨学金,しょうがくきん,しょうがくきん
乗客,じょうきゃく,じょうきゃく
上京,じょうきょう,じょうきょう
状況,じょうきょう,じょうきょう
条件,じょうけん,じょうけん
正午,しょうご,しょうご
正直,しょうじき,しょうじき
常識,じょうしき,じょうしき
少女,しょうじょ,しょうじょ
症状,しょうじょう,しょうじょう
生じる,しょうじる,しょうじる
招待,しょうたい,しょうたい
状態,じょうたい,じょうたい
上達,じょうたつ,じょうたつ
冗談,じょうだん,じょうだん
承知,しょうち,しょうち
上等,じょうとう,じょうとう
衝突,しょうとつ,しょうとつ
商人,しょうにん,しょうにん
承認,しょうにん,しょうにん
少年,しょうねん,しょうねん
商売,しょうばい,しょうばい
消費,しょうひ,しょうひ
商品,しょうひん,しょうひん
消防,しょうぼう,しょうぼう
情報,じょうほう,じょうほう
証明,しょうめい,しょうめい
女王,じょおう,じょおう
職,しょく,しょく
職業,しょくぎょう,しょくぎょう
食事,しょくじ,しょくじ
食卓,しょくたく,しょくたく
食品,しょくひん,しょくひん
植物,しょくぶつ,しょくぶつ
食物,しょくもつ,しょくもつ
食欲,しょくよく,しょくよく
食料,しょくりょう,しょくりょう
食糧,しょくりょう,しょくりょう
書斎,しょさい,しょさい
女子,じょし,じょし
徐々,じょじょ,じょじょ
署名,しょめい,しょめい
書物,しょもつ,しょもつ
女優,じょゆう,じょゆう
処理,しょり,しょり
書類,しょるい,しょるい
知らせ,しらせ,しらせ
尻,しり,しり
印,しるし,しるし
城,しろ,しろ
進学,しんがく,しんがく
神経,しんけい,しんけい
真剣,しんけん,しんけん
信仰,しんこう,しんこう
信号,しんごう,しんごう
人工,じんこう,じんこう
深刻,しんこく,しんこく
診察,しんさつ,しんさつ
人種,じんしゅ,じんしゅ
信じる,しんじる,しんじる
人生,じんせい,じんせい
親戚,しんせき,しんせき
新鮮,しんせん,しんせん
心臓,しんぞう,しんぞう
慎重,しんちょう,しんちょう
身長,しんちょう,しんちょう
心配,しんぱい,しんぱい
審判,しんぱん,しんぱん
人物,じんぶつ,じんぶつ
進歩,しんぽ,しんぽ
親友,しんゆう,しんゆう
信用,しんよう,しんよう
信頼,しんらい,しんらい
心理,しんり,しんり
人類,じんるい,じんるい
州,す,す
巣,す,す
図,ず,ず
スープ,スープ,すーぷ
水準,すいじゅん,すいじゅん
推薦,すいせん,すいせん
スイッチ,スイッチ,すいっち
随分,ずいぶん,ずいぶん
睡眠,すいみん,すいみん
数,すう,すう
数字,すうじ,すうじ
末,すえ,すえ
姿,すがた,すがた
スキー,スキー,すきー
空く,すく,すく
救う,すくう,すくう
優れる,すぐれる,すぐれる
スケート,スケート,すけーと
凄い,すごい,すごい
少しも,すこしも,すこしも
過ごす,すごす,すごす
筋,すじ,すじ
勧める,すすめる,すすめる
進める,すすめる,すすめる
スター,スター,すたー
スタイル,スタイル,すたいる
スタンド,スタンド,すたんど
頭痛,ずつう,ずつう
ずっと,ずっと,ずっと
素敵,すてき,すてき
既に,すでに,すでに
即ち,すなわち,すなわち
素晴らしい,すばらしい,すばらしい
スピーチ,スピーチ,すぴーち
全て,すべて,すべて
済ませる,すませる,すませる
済みません,すみません,すみません
為る,する,する
すると,すると,すると
鋭い,するどい,するどい
性,せい,せい
所為,せい,せい
正,せい,せい
背,せい,せい
税,ぜい,ぜい
性格,せいかく,せいかく
正確,せいかく,せいかく
世紀,せいき,せいき
請求,せいきゅう,せいきゅう
税金,ぜいきん,ぜいきん
清潔,せいけつ,せいけつ
制限,せいげん,せいげん
成功,せいこう,せいこう
生産,せいさん,せいさん
正式,せいしき,せいしき
精神,せいしん,せいしん
成人,せいじん,せいじん
精々,せいぜい,せいぜい
成績,せいせき,せいせき
製造,せいぞう,せいぞう
贅沢,ぜいたく,ぜいたく
成長,せいちょう,せいちょう
制度,せいど,せいど
青年,せいねん,せいねん
製品,せいひん,せいひん
政府,せいふ,せいふ
生物,せいぶつ,せいぶつ
生命,せいめい,せいめい
整理,せいり,せいり
咳,せき,せき
石炭,せきたん,せきたん
責任,せきにん,せきにん
石油,せきゆ,せきゆ
世間,せけん,せけん
説,せつ,せつ
積極的,せっきょくてき,せっきょくてき
設計,せっけい,せっけい
絶対,ぜったい,ぜったい
セット,セット,せっと
設備,せつび,せつび
節約,せつやく,せつやく
是非,ぜひ,ぜひ
責める,せめる,せめる
世話,せわ,せわ
善,ぜん,ぜん
全員,ぜんいん,ぜんいん
全国,ぜんこく,ぜんこく
先日,せんじつ,せんじつ
前者,ぜんしゃ,ぜんしゃ
選手,せんしゅ,せんしゅ
前進,ぜんしん,ぜんしん
全然,ぜんぜん,ぜんぜん
センター,センター,せんたー
全体,ぜんたい,ぜんたい
選択,せんたく,せんたく
そう,そう,そう
象,ぞう,ぞう
騒音,そうおん,そうおん
増加,ぞうか,ぞうか
操作,そうさ,そうさ
想像,そうぞう,そうぞう
相続,そうぞく,そうぞく
相談,そうだん,そうだん
装置,そうち,そうち
相当,そうとう,そうとう
速度,そくど,そくど
底,そこ,そこ
其処で,そこで,そこで
組織,そしき,そしき
然して,そして,そして
注ぐ,そそぐ,そそぐ
育つ,そだつ,そだつ
そっくり,そっくり,そっくり
率土,そっと,そっと
袖,そで,そで
備える,そなえる,そなえる
其の,その,その
その内,そのうち,そのうち
其の儘,そのまま,そのまま
側,そば,そば
ソファ,ソファ,そふァ
粗末,そまつ,そまつ
其れ,それ,それ
夫れ夫れ,それぞれ,それぞれ
其れでも,それでも,それでも
其れ共,それとも,それとも
損,そん,そん
損害,そんがい,そんがい
尊敬,そんけい,そんけい
存在,そんざい,そんざい
尊重,そんちょう,そんちょう
他,た,た
田,た,た
台,だい,だい
題,だい,だい
体育,たいいく,たいいく
体温,たいおん,たいおん
大会,たいかい,たいかい
大気,たいき,たいき
代金,だいきん,だいきん
退屈,たいくつ,たいくつ
大使,たいし,たいし
大した,たいした,たいした
対象,たいしょう,たいしょう
大臣,だいじん,だいじん
対する,たいする,たいする
大戦,たいせん,たいせん
大抵,たいてい,たいてい
態度,たいど,たいど
大統領,だいとうりょう,だいとうりょう
大半,たいはん,たいはん
代表,だいひょう,だいひょう
大部分,だいぶぶん,だいぶぶん
タイプライター,タイプライター,たいぷらいたー
逮捕,たいほ,たいほ
ダイヤ,ダイヤ,だいや
太陽,たいよう,たいよう
平ら,たいら,たいら
代理,だいり,だいり
大陸,たいりく,たいりく
タオル,タオル,たおる
だが,だが,だが
互い,たがい,たがい
宝,たから,たから
だから,だから,だから
宅,たく,たく
だけど,だけど,だけど
確かめる,たしかめる,たしかめる
多少,たしょう,たしょう
助ける,たすける,たすける
只,ただ,ただ
戦い,たたかい,たたかい
戦う,たたかう,たたかう
叩く,たたく,たたく
直ちに,ただちに,ただちに
立ち上がる,たちあがる,たちあがる
立場,たちば,たちば
経つ,たつ,たつ
達する,たっする,たっする
たった,たった,たった
だって,だって,だって
たっぷり,たっぷり,たっぷり
縦,たて,たて
例え,たとえ,たとえ
谷,たに,たに
他人,たにん,たにん
種,たね,たね
束,たば,たば
度,たび,たび
旅,たび,たび
度々,たびたび,たびたび
多分,たぶん,たぶん
玉,たま,たま
偶々,たまたま,たまたま
堪らない,たまらない,たまらない
黙る,だまる,だまる
駄目,だめ,だめ
試し,ためし,ためし
試す,ためす,ためす
便り,たより,たより
頼る,たよる,たよる
誰か,だれか,だれか
段,だん,だん
単位,たんい,たんい
単語,たんご,たんご
男子,だんし,だんし
単純,たんじゅん,たんじゅん
誕生,たんじょう,たんじょう
ダンス,ダンス,だんす
団体,だんたい,だんたい
担当,たんとう,たんとう
単なる,たんなる,たんなる
単に,たんに,たんに
地,ち,ち
チーズ,チーズ,ちーず
チーム,チーム,ちーむ
地位,ちい,ちい
地域,ちいき,ちいき
知恵,ちえ,ちえ
地下,ちか,ちか
違い,ちがい,ちがい
違いない,ちがいない,ちがいない
近頃,ちかごろ,ちかごろ
地球,ちきゅう,ちきゅう
地区,ちく,ちく
遅刻,ちこく,ちこく
知事,ちじ,ちじ
知識,ちしき,ちしき
父親,ちちおや,ちちおや
知能,ちのう,ちのう
地平線,ちへいせん,ちへいせん
地方,ちほう,ちほう
茶,ちゃ,ちゃ
チャンス,チャンス,ちゃんす
ちゃんと,ちゃんと,ちゃんと
中,ちゅう,ちゅう
注,ちゅう,ちゅう
中央,ちゅうおう,ちゅうおう
中学,ちゅうがく,ちゅうがく
中古,ちゅうこ,ちゅうこ
中止,ちゅうし,ちゅうし
駐車,ちゅうしゃ,ちゅうしゃ
昼食,ちゅうしょく,ちゅうしょく
中心,ちゅうしん,ちゅうしん
注目,ちゅうもく,ちゅうもく
注文,ちゅうもん,ちゅうもん
長期,ちょうき,ちょうき
調査,ちょうさ,ちょうさ
頂戴,ちょうだい,ちょうだい
貯金,ちょきん,ちょきん
直接,ちょくせつ,ちょくせつ
著者,ちょしゃ,ちょしゃ
対,つい,つい
遂に,ついに,ついに
通過,つうか,つうか
通学,つうがく,つうがく
通行,つうこう,つうこう
通じる,つうじる,つうじる
通信,つうしん,つうしん
捕まる,つかまる,つかまる
掴む,つかむ,つかむ
疲れ,つかれ,つかれ
月,つき,つき
付き合い,つきあい,つきあい
次々,つぎつぎ,つぎつぎ
就く,つく,つく
注ぐ,つぐ,つぐ
付ける,つける,つける
土,つち,つち
続き,つづき,つづき
包み,つつみ,つつみ
勤め,つとめ,つとめ
繋ぐ,つなぐ,つなぐ
常に,つねに,つねに
角,つの,つの
翼,つばさ,つばさ
詰まり,つまり,つまり
罪,つみ,つみ
詰める,つめる,つめる
積もる,つもる,つもる
梅雨,つゆ,つゆ
辛い,つらい,つらい
釣り,つり,つり
連れ,つれ,つれ
デート,デート,でーと
出会い,であい,であい
出会う,であう,であう
提案,ていあん,ていあん
定期,ていき,ていき
抵抗,ていこう,ていこう
提出,ていしゅつ,ていしゅつ
程度,ていど,ていど
停留所,ていりゅうじょ,ていりゅうじょ
敵,てき,てき
出来事,できごと,できごと
適する,てきする,てきする
適切,てきせつ,てきせつ
適度,てきど,てきど
適用,てきよう,てきよう
出来る,できる,できる
出来るだけ,できるだけ,できるだけ
手品,てじな,てじな
ですから,ですから,ですから
鉄,てつ,てつ
哲学,てつがく,てつがく
手伝い,てつだい,てつだい
徹底,てってい,てってい
鉄道,てつどう,てつどう
では,では,では
手間,てま,てま
でも,でも,でも
デモ,デモ,でも
典型,てんけい,てんけい
天候,てんこう,てんこう
電子,でんし,でんし
テント,テント,てんと
伝統,でんとう,でんとう
天然,てんねん,てんねん
と,と,と
ト,ト,と
ど,ど,ど
度,ど,ど
問い,とい,とい
党,とう,とう
塔,とう,とう
答案,とうあん,とうあん
同一,どういつ,どういつ
銅貨,どうか,どうか
当時,とうじ,とうじ
動詞,どうし,どうし
同時,どうじ,どうじ
如何しても,どうしても,どうしても
到着,とうちゃく,とうちゃく
道徳,どうとく,どうとく
投票,とうひょう,とうひょう
同様,どうよう,どうよう
同僚,どうりょう,どうりょう
道路,どうろ,どうろ
通す,とおす,とおす
通り,とおり,とおり
通り過ぎる,とおりすぎる,とおりすぎる
都会,とかい,とかい
時,とき,とき
解く,とく,とく
毒,どく,どく
得意,とくい,とくい
読書,どくしょ,どくしょ
独身,どくしん,どくしん
独立,どくりつ,どくりつ
解ける,とける,とける
何処か,どこか,どこか
所が,ところが,ところが
所で,ところで,ところで
登山,とざん,とざん
都市,とし,とし
年月,としつき,としつき
図書,としょ,としょ
年寄り,としより,としより
閉じる,とじる,とじる
途端,とたん,とたん
土地,とち,とち
突然,とつぜん,とつぜん
トップ,トップ,とっぷ
届く,とどく,とどく
兎に角,とにかく,とにかく
飛ばす,とばす,とばす
飛び出す,とびだす,とびだす
止める,とめる,とめる
