kanji,kana,hirakana
否,いいえ,いいえ
いい加減,いいかげん,いいかげん
言い訳,いいわけ,いいわけ
イエス,イエス,いえす
家出,いえで,いえで
生かす,いかす,いかす
如何に,いかに,いかに
如何にも,いかにも,いかにも
怒り,いかり,いかり
粋,いき,いき
異議,いぎ,いぎ
域外,いきがい,いきがい
意気込む,いきごむ,いきごむ
経緯,いきさつ,いきさつ
行き違い,いきちがい,いきちがい
行き成り,いきなり,いきなり
行く,いく,いく
戦,いくさ,いくさ
育成,いくせい,いくせい
幾多,いくた,いくた
生ける,いける,いける
異見,いけん,いけん
意向,いこう,いこう
移行,いこう,いこう
いざ,いざ,いざ
意地,いじ,いじ
苛める,いじめる,いじめる
移住,いじゅう,いじゅう
衣装,いしょう,いしょう
弄る,いじる,いじる
何れ,いずれ,いずれ
異性,いせい,いせい
依然,いぜん,いぜん
依存,いぞん,いぞん
委託,いたく,いたく
悪戯,いたずら,いたずら
頂きます,いただきます,いただきます
至って,いたって,いたって
痛む,いたむ,いたむ
炒める,いためる,いためる
痛める,いためる,いためる
労る,いたわる,いたわる
位置,いち,いち
市,いち,いち
一々,いちいち,いちいち
一見,いちげん,いちげん
著しい,いちじるしい,いちじるしい
一同,いちどう,いちどう
一日,いちにち,いちにち
一部,いちぶ,いちぶ
一部分,いちぶぶん,いちぶぶん
一別,いちべつ,いちべつ
一面,いちめん,いちめん
一様,いちよう,いちよう
一連,いちれん,いちれん
何時,いつ,いつ
何時か,いつか,いつか
一括,いっかつ,いっかつ
一気,いっき,いっき
一挙に,いっきょに,いっきょに
一切,いっさい,いっさい
一昨昨日,いっさくさくじつ,いっさくさくじつ
一心,いっしん,いっしん
いっそ,いっそ,いっそ
一帯,いったい,いったい
一定,いってい,いってい
何時でも,いつでも,いつでも
いつの間にか,いつのまにか,いつのまにか
一敗,いっぱい,いっぱい
一変,いっぺん,いっぺん
何時までも,いつまでも,いつまでも
何時も,いつも,いつも
意図,いと,いと
営む,いとなむ,いとなむ
挑む,いどむ,いどむ
稲光,いなびかり,いなびかり
古,いにしえ,いにしえ
祈り,いのり,いのり
鼾,いびき,いびき
今更,いまさら,いまさら
移民,いみん,いみん
嫌々,いやいや,いやいや
卑しい,いやしい,いやしい
嫌に,いやに,いやに
嫌らしい,いやらしい,いやらしい
愈,いよいよ,いよいよ
意欲,いよく,いよく
苛々,いらいら,いらいら
入口,いりぐち,いりぐち
衣料,いりょう,いりょう
入る,いる,いる
衣類,いるい,いるい
色々,いろいろ,いろいろ
異論,いろん,いろん
所謂,いわゆる,いわゆる
印,いん,いん
員,いん,いん
印鑑,いんかん,いんかん
隠居,いんきょ,いんきょ
インターチェンジ,インターチェンジ,いんたーちぇんじ
インターナショナル,インターナショナル,いんたーなしょなる
インターフォン,インターフォン,いんたーふぉん
インテリ,インテリ,いんてり
インフォメーション,インフォメーション,いんふぉめーしょん
インフレ,インフレ,いんふれ
卯,う,う
ウイルス,ウイルス,ういるす
ウェイトレス,ウェイトレス,うぇいとれす
上下,うえした,うえした
浮かぶ,うかぶ,うかぶ
受かる,うかる,うかる
受け入れる,うけいれる,うけいれる
受け継ぐ,うけつぐ,うけつぐ
受け付ける,うけつける,うけつける
受け止める,うけとめる,うけとめる
受取り,うけとり,うけとり
動き,うごき,うごき
氏,うじ,うじ
渦,うず,うず
嘘つき,うそつき,うそつき
打ち合わせ,うちあわせ,うちあわせ
打ち合わせる,うちあわせる,うちあわせる
打ち切る,うちきる,うちきる
打ち消し,うちけし,うちけし
打ち込む,うちこむ,うちこむ
団扇,うちわ,うちわ
訴え,うったえ,うったえ
虚ろ,うつろ,うつろ
器,うつわ,うつわ
腕前,うでまえ,うでまえ
雨天,うてん,うてん
饂飩,うどん,うどん
唸る,うなる,うなる
自惚れ,うぬぼれ,うぬぼれ
上手い,うまい,うまい
埋まる,うまる,うまる
生む,うむ,うむ
埋め込む,うめこむ,うめこむ
梅干し,うめぼし,うめぼし
末,うら,うら
売り出し,うりだし,うりだし
売り出す,うりだす,うりだす
潤う,うるおう,うるおう
煩い,うるさい,うるさい
売れ行き,うれゆき,うれゆき
上手,うわて,うわて
上回る,うわまわる,うわまわる
植わる,うわる,うわる
運営,うんえい,うんえい
うんざり,うんざり,うんざり
運送,うんそう,うんそう
運賃,うんちん,うんちん
云々,うんぬん,うんぬん
運搬,うんぱん,うんぱん
運命,うんめい,うんめい
運用,うんよう,うんよう
会,え,え
重,え,え
エアメール,エアメール,えあめーる
海鷂魚,えい,えい
英字,えいじ,えいじ
映写,えいしゃ,えいしゃ
衛生,えいせい,えいせい
英雄,えいゆう,えいゆう
役,えき,えき
液,えき,えき
閲覧,えつらん,えつらん
獲物,えもの,えもの
襟,えり,えり
エレガント,エレガント,えれがんと
縁,えん,えん
艶,えん,えん
円滑,えんかつ,えんかつ
縁側,えんがわ,えんがわ
沿岸,えんがん,えんがん
エンジニア,エンジニア,えんじにあ
演習,えんしゅう,えんしゅう
演出,えんしゅつ,えんしゅつ
演じる,えんじる,えんじる
演ずる,えんずる,えんずる
沿線,えんせん,えんせん
縁談,えんだん,えんだん
遠方,えんぽう,えんぽう
円満,えんまん,えんまん
尾,お,お
オートマチック,オートマチック,おーとまちっく
オープン,オープン,おーぷん
おい,おい,おい
甥,おい,おい
美味しい,おいしい,おいしい
於て,おいて,おいて
お出でになる,おいでになる,おいでになる
老いる,おいる,おいる
負う,おう,おう
応急,おうきゅう,おうきゅう
黄金,おうごん,おうごん
応募,おうぼ,おうぼ
大方,おおかた,おおかた
大柄,おおがら,おおがら
大げさ,おおげさ,おおげさ
大雑把,おおざっぱ,おおざっぱ
大筋,おおすじ,おおすじ
大空,おおぞら,おおぞら
大幅,おおはば,おおはば
大水,おおみず,おおみず
公,おおやけ,おおやけ
お蔭,おかげ,おかげ
お陰様で,おかげさまで,おかげさまで
侵す,おかす,おかす
犯す,おかす,おかす
お菜,おかず,おかず
臆病,おくびょう,おくびょう
遅らす,おくらす,おくらす
遅れ,おくれ,おくれ
起こす,おこす,おこす
厳か,おごそか,おごそか
行い,おこない,おこない
怒る,おこる,おこる
奢る,おごる,おごる
長,おさ,おさ
押さえる,おさえる,おさえる
お先に,おさきに,おさきに
収まる,おさまる,おさまる
治まる,おさまる,おさまる
お産,おさん,おさん
お祖父さん,おじいさん,おじいさん
教え,おしえ,おしえ
押し込む,おしこむ,おしこむ
惜しむ,おしむ,おしむ
お喋り,おしゃべり,おしゃべり
お邪魔します,おじゃまします,おじゃまします
お洒落,おしゃれ,おしゃれ
押し寄せる,おしよせる,おしよせる
雄,おす,おす
お世辞,おせじ,おせじ
襲う,おそう,おそう
遅くとも,おそくとも,おそくとも
恐らく,おそらく,おそらく
恐れ,おそれ,おそれ
恐れ入る,おそれいる,おそれいる
お大事に,おだいじに,おだいじに
煽てる,おだてる,おだてる
落ち込む,おちこむ,おちこむ
落ち着き,おちつき,おちつき
落ち葉,おちば,おちば
落ちる,おちる,おちる
乙,おつ,おつ
お使い,おつかい,おつかい
おっかない,おっかない,おっかない
ＯＫ,オッケー,おっけー
仰る,おっしゃる,おっしゃる
お手上げ,おてあげ,おてあげ
お手洗い,おてあらい,おてあらい
音,おと,おと
弟,おとうと,おとうと
オドオド,オドオド,おどおど
脅かす,おどかす,おどかす
落とす,おとす,おとす
脅す,おどす,おどす
訪れる,おとずれる,おとずれる
大人しい,おとなしい,おとなしい
お供,おとも,おとも
衰える,おとろえる,おとろえる
驚き,おどろき,おどろき
同い年,おないどし,おないどし
お願いします,おねがいします,おねがいします
自ずから,おのずから,おのずから
お祖母さん,おばあさん,おばあさん
お早う,おはよう,おはよう
怯える,おびえる,おびえる
夥しい,おびただしい,おびただしい
帯びる,おびる,おびる
覚え,おぼえ,おぼえ
お巡りさん,おまわりさん,おまわりさん
お宮,おみや,おみや
お襁褓,おむつ,おむつ
お目出度う,おめでとう,おめでとう
思いつき,おもいつき,おもいつき
面白い,おもしろい,おもしろい
玩具,おもちゃ,おもちゃ
面,おもて,おもて
主なる,おもなる,おもなる
趣,おもむき,おもむき
重んじる,おもんじる,おもんじる
重んずる,おもんずる,おもんずる
お休み,おやすみ,おやすみ
お八つ,おやつ,おやつ
凡そ,およそ,およそ
及び,および,および
及ぶ,およぶ,およぶ
檻,おり,おり
織り,おり,おり
オリエンテーション,オリエンテーション,おりえんてーしょん
織物,おりもの,おりもの
織る,おる,おる
俺,おれ,おれ
オレンジ,オレンジ,おれんじ
愚か,おろか,おろか
疎か,おろそか,おろそか
終わる,おわる,おわる
オンライン,オンライン,おんらいん
温和,おんわ,おんわ
科,か,か
箇,か,か
カーペット,カーペット,かーぺっと
下位,かい,かい
階,かい,かい
街,がい,がい
改悪,かいあく,かいあく
海運,かいうん,かいうん
外貨,がいか,がいか
改革,かいかく,かいかく
貝殻,かいがら,かいがら
外観,がいかん,がいかん
階級,かいきゅう,かいきゅう
海峡,かいきょう,かいきょう
会見,かいけん,かいけん
介護,かいご,かいご
開催,かいさい,かいさい
回収,かいしゅう,かいしゅう
改修,かいしゅう,かいしゅう
怪獣,かいじゅう,かいじゅう
解除,かいじょ,かいじょ
外相,がいしょう,がいしょう
害する,がいする,がいする
概説,がいせつ,がいせつ
回送,かいそう,かいそう
階層,かいそう,かいそう
開拓,かいたく,かいたく
会談,かいだん,かいだん
改定,かいてい,かいてい
改訂,かいてい,かいてい
ガイド,ガイド,がいど
街道,かいどう,かいどう
街頭,がいとう,がいとう
ガイドブック,ガイドブック,がいどぶっく
介入,かいにゅう,かいにゅう
概念,がいねん,がいねん
開発,かいはつ,かいはつ
海抜,かいばつ,かいばつ
介抱,かいほう,かいほう
解剖,かいぼう,かいぼう
外来,がいらい,がいらい
回覧,かいらん,かいらん
概略,がいりゃく,がいりゃく
海流,かいりゅう,かいりゅう
改良,かいりょう,かいりょう
回路,かいろ,かいろ
海路,かいろ,かいろ
顧みる,かえりみる,かえりみる
返る,かえる,かえる
顔つき,かおつき,かおつき
課外,かがい,かがい
掲げる,かかげる,かかげる
踵,かかと,かかと
係,かかり,かかり
書き取り,かきとり,かきとり
書き取る,かきとる,かきとる
掻き回す,かきまわす,かきまわす
佳句,かく,かく
核,かく,かく
格,かく,かく
欠く,かく,かく
画,かく,かく
角,かく,かく
学芸,がくげい,がくげい
格差,かくさ,かくさ
学士,がくし,がくし
各種,かくしゅ,かくしゅ
隔週,かくしゅう,かくしゅう
確信,かくしん,かくしん
革新,かくしん,かくしん
学説,がくせつ,がくせつ
確定,かくてい,かくてい
カクテル,カクテル,かくてる
獲得,かくとく,かくとく
楽譜,がくふ,がくふ
確保,かくほ,かくほ
革命,かくめい,かくめい
確立,かくりつ,かくりつ
学歴,がくれき,がくれき
掛け,かけ,かけ
崖,がけ,がけ
駆け足,かけあし,かけあし
家計,かけい,かけい
ヶ月,かげつ,かげつ
駆けっこ,かけっこ,かけっこ
翔る,かける,かける
賭ける,かける,かける
駆ける,かける,かける
加工,かこう,かこう
化合,かごう,かごう
風車,かざぐるま,かざぐるま
嵩張る,かさばる,かさばる
嵩む,かさむ,かさむ
畏まりました,かしこまりました,かしこまりました
華奢,かしゃ,かしゃ
箇所,かしょ,かしょ
箇条書き,かじょうがき,かじょうがき
齧る,かじる,かじる
微か,かすか,かすか
化する,かする,かする
掠る,かする,かする
火星,かせい,かせい
化石,かせき,かせき
化繊,かせん,かせん
河川,かせん,かせん
過疎,かそ,かそ
過多,かた,かた
難い,かたい,かたい
課題,かだい,かだい
片思い,かたおもい,かたおもい
敵,かたき,かたき
片言,かたこと,かたこと
傾く,かたむく,かたむく
傾ける,かたむける,かたむける
固める,かためる,かためる
偏る,かたよる,かたよる
傍ら,かたわら,かたわら
花壇,かだん,かだん
雅致,がち,がち
家畜,かちく,かちく
且つ,かつ,かつ
画期,かっき,かっき
がっくり,がっくり,がっくり
合唱,がっしょう,がっしょう
がっしり,がっしり,がっしり
合致,がっち,がっち
がっちり,がっちり,がっちり
嘗て,かつて,かつて
カット,カット,かっと
活発,かっぱつ,かっぱつ
月日,がっぴ,がっぴ
合併,がっぺい,がっぺい
カテゴリー,カテゴリー,かてごりー
哉,かな,かな
叶う,かなう,かなう
叶える,かなえる,かなえる
金槌,かなづち,かなづち
可也,かなり,かなり
加入,かにゅう,かにゅう
金蔵,かねぐら,かねぐら
予て,かねて,かねて
華美,かび,かび
下品,かひん,かひん
株式,かぶしき,かぶしき
気触れる,かぶれる,かぶれる
貨幣,かへい,かへい
構え,かまえ,かまえ
構える,かまえる,かまえる
加味,かみ,かみ
噛み切る,かみきる,かみきる
過密,かみつ,かみつ
雷,かみなり,かみなり
カムバック,カムバック,かむばっく
甕,かめ,かめ
カメラマン,カメラマン,かめらまん
かも知れない,かもしれない,かもしれない
痒い,かゆい,かゆい
揶揄う,からかう,からかう
体,からだ,からだ
体つき,からだつき,からだつき
絡む,からむ,からむ
下吏,かり,かり
仮,かり,かり
借り,かり,かり
がる,がる,がる
歌留多,かるた,かるた
カルテ,カルテ,かるて
ガレージ,ガレージ,がれーじ
涸れる,かれる,かれる
過労,かろう,かろう
辛うじて,かろうじて,かろうじて
側,がわ,がわ
可愛い,かわいい,かわいい
可愛がる,かわいがる,かわいがる
可哀想,かわいそう,かわいそう
可愛らしい,かわいらしい,かわいらしい
替わる,かわる,かわる
代わる代わる,かわるがわる,かわるがわる
管,かん,かん
観,かん,かん
館,かん,かん
癌,がん,がん
簡易,かんい,かんい
眼科,がんか,がんか
感慨,かんがい,かんがい
眼球,がんきゅう,がんきゅう
簡潔,かんけつ,かんけつ
還元,かんげん,かんげん
漢語,かんご,かんご
看護,かんご,かんご
頑固,がんこ,がんこ
刊行,かんこう,かんこう
慣行,かんこう,かんこう
勧告,かんこく,かんこく
監視,かんし,かんし
慣習,かんしゅう,かんしゅう
観衆,かんしゅう,かんしゅう
願書,がんしょ,がんしょ
干渉,かんしょう,かんしょう
頑丈,がんじょう,がんじょう
感触,かんしょく,かんしょく
歓声,かんせい,かんせい
関税,かんぜい,かんぜい
岩石,がんせき,がんせき
幹線,かんせん,かんせん
感染,かんせん,かんせん
簡素,かんそ,かんそ
観点,かんてん,かんてん
感度,かんど,かんど
カンニング,カンニング,かんにんぐ
元年,がんねん,がんねん
幹部,かんぶ,かんぶ
完璧,かんぺき,かんぺき
勘弁,かんべん,かんべん
冠,かんむり,かんむり
感無量,かんむりょう,かんむりょう
勧誘,かんゆう,かんゆう
関与,かんよ,かんよ
寛容,かんよう,かんよう
元来,がんらい,がんらい
観覧,かんらん,かんらん
官僚,かんりょう,かんりょう
慣例,かんれい,かんれい
還暦,かんれき,かんれき
貫禄,かんろく,かんろく
緩和,かんわ,かんわ
期,き,き
生,き,き
議案,ぎあん,ぎあん
黄色,きいろ,きいろ
危害,きがい,きがい
企画,きかく,きかく
規格,きかく,きかく
着飾る,きかざる,きかざる
気兼ね,きがね,きがね
気軽,きがる,きがる
季刊,きかん,きかん
危機,きき,きき
聞き取り,ききとり,ききとり
帰京,ききょう,ききょう
戯曲,ぎきょく,ぎきょく
基金,ききん,ききん
喜劇,きげき,きげき
議決,ぎけつ,ぎけつ
棄権,きけん,きけん
起源,きげん,きげん
既婚,きこん,きこん
気障,きざ,きざ
記載,きさい,きさい
兆し,きざし,きざし
気質,きしつ,きしつ
期日,きじつ,きじつ
議事堂,ぎじどう,ぎじどう
軋む,きしむ,きしむ
記述,きじゅつ,きじゅつ
気象,きしょう,きしょう
傷,きず,きず
奇数,きすう,きすう
築く,きずく,きずく
傷つく,きずつく,きずつく
規制,きせい,きせい
犠牲,ぎせい,ぎせい
汽船,きせん,きせん
偽造,ぎぞう,ぎぞう
貴族,きぞく,きぞく
議題,ぎだい,ぎだい
鍛える,きたえる,きたえる
気立て,きだて,きだて
来る,きたる,きたる
きちっと,きちっと,きちっと
几帳面,きちょうめん,きちょうめん
切っ掛け,きっかけ,きっかけ
きっかり,きっかり,きっかり
喫茶,きっさ,きっさ
きっちり,きっちり,きっちり
屹度,きっと,きっと
きっぱり,きっぱり,きっぱり
規定,きてい,きてい
起点,きてん,きてん
軌道,きどう,きどう
技能,ぎのう,ぎのう
甲,きのえ,きのえ
軌範,きはん,きはん
気品,きひん,きひん
気風,きふう,きふう
起伏,きふく,きふく
規模,きぼ,きぼ
気まぐれ,きまぐれ,きまぐれ
生真面目,きまじめ,きまじめ
期末,きまつ,きまつ
きまり悪い,きまりわるい,きまりわるい
決まる,きまる,きまる
記名,きめい,きめい
規約,きやく,きやく
逆転,ぎゃくてん,ぎゃくてん
脚本,きゃくほん,きゃくほん
客観,きゃっかん,きゃっかん
キャッチ,キャッチ,きゃっち
キャリア,キャリア,きゃりあ
休学,きゅうがく,きゅうがく
究極,きゅうきょく,きゅうきょく
窮屈,きゅうくつ,きゅうくつ
球根,きゅうこん,きゅうこん
救済,きゅうさい,きゅうさい
旧事,きゅうじ,きゅうじ
給仕,きゅうじ,きゅうじ
給食,きゅうしょく,きゅうしょく
休戦,きゅうせん,きゅうせん
旧知,きゅうち,きゅうち
宮殿,きゅうでん,きゅうでん
窮乏,きゅうぼう,きゅうぼう
寄与,きよ,きよ
行,ぎょう,ぎょう
驚異,きょうい,きょうい
教員,きょういん,きょういん
教科,きょうか,きょうか
協会,きょうかい,きょうかい
共学,きょうがく,きょうがく
共感,きょうかん,きょうかん
協議,きょうぎ,きょうぎ
境遇,きょうぐう,きょうぐう
教訓,きょうくん,きょうくん
強硬,きょうこう,きょうこう
強行,きょうこう,きょうこう
教材,きょうざい,きょうざい
業者,ぎょうしゃ,ぎょうしゃ
享受,きょうじゅ,きょうじゅ
教習,きょうしゅう,きょうしゅう
郷愁,きょうしゅう,きょうしゅう
教職,きょうしょく,きょうしょく
興じる,きょうじる,きょうじる
供する,きょうする,きょうする
行政,ぎょうせい,ぎょうせい
業績,ぎょうせき,ぎょうせき
共存,きょうぞん,きょうぞん
協調,きょうちょう,きょうちょう
協定,きょうてい,きょうてい
脅迫,きょうはく,きょうはく
業務,ぎょうむ,ぎょうむ
郷里,きょうり,きょうり
強烈,きょうれつ,きょうれつ
共和,きょうわ,きょうわ
曲,きょく,きょく
玉,ぎょく,ぎょく
局限,きょくげん,きょくげん
極端,きょくたん,きょくたん
居住,きょじゅう,きょじゅう
拒絶,きょぜつ,きょぜつ
漁船,ぎょせん,ぎょせん
漁村,ぎょそん,ぎょそん
拒否,きょひ,きょひ
許容,きょよう,きょよう
清らか,きよらか,きよらか
距離,きょり,きょり
気楽,きらく,きらく
煌びやか,きらびやか,きらびやか
切り,きり,きり
桐,きり,きり
切り替える,きりかえる,きりかえる
気流,きりゅう,きりゅう
綺麗,きれい,きれい
際,きわ,きわ
疑惑,ぎわく,ぎわく
極めて,きわめて,きわめて
近眼,きんがん,きんがん
緊急,きんきゅう,きんきゅう
近視,きんし,きんし
禁じる,きんじる,きんじる
禁ずる,きんずる,きんずる
勤勉,きんべん,きんべん
吟味,ぎんみ,ぎんみ
勤務,きんむ,きんむ
禁物,きんもつ,きんもつ
勤労,きんろう,きんろう
区,く,く
クイズ,クイズ,くいず
食い違う,くいちがう,くいちがう
空腹,くうふく,くうふく
区間,くかん,くかん
茎,くき,くき
区切り,くぎり,くぎり
潜る,くぐる,くぐる
くじ引き,くじびき,くじびき
嚏,くしゃみ,くしゃみ
擽ったい,くすぐったい,くすぐったい
草臥れる,くたびれる,くたびれる
下らない,くだらない,くだらない
件,くだん,くだん
愚痴,ぐち,ぐち
口ずさむ,くちずさむ,くちずさむ
朽ちる,くちる,くちる
覆す,くつがえす,くつがえす
くっきり,くっきり,くっきり
屈折,くっせつ,くっせつ
くっ付く,くっつく,くっつく
くっ付ける,くっつける,くっつける
ぐっと,ぐっと,ぐっと
諄い,くどい,くどい
首飾り,くびかざり,くびかざり
首輪,くびわ,くびわ
組み合わせ,くみあわせ,くみあわせ
組み合わせる,くみあわせる,くみあわせる
蔵,くら,くら
くらい,くらい,くらい
クラブ,クラブ,くらぶ
倶楽部,クラブ,くらぶ
グラフ,グラフ,ぐらふ
苦しめる,くるしめる,くるしめる
グレー,グレー,ぐれー
クレーン,クレーン,くれーん
呉れ呉れも,くれぐれも,くれぐれも
呉れる,くれる,くれる
玄人,くろうと,くろうと
黒字,くろじ,くろじ
群,ぐん,ぐん
軍事,ぐんじ,ぐんじ
君主,くんしゅ,くんしゅ
群集,ぐんしゅう,ぐんしゅう
軍備,ぐんび,ぐんび
軍服,ぐんぷく,ぐんぷく
刑,けい,けい
系,けい,けい
頃,けい,けい
経過,けいか,けいか
軽快,けいかい,けいかい
契機,けいき,けいき
計器,けいき,けいき
敬具,けいぐ,けいぐ
軽減,けいげん,けいげん
掲載,けいさい,けいさい
傾斜,けいしゃ,けいしゃ
形勢,けいせい,けいせい
形成,けいせい,けいせい
軽率,けいそつ,けいそつ
形態,けいたい,けいたい
携帯,けいたい,けいたい
刑罰,けいばつ,けいばつ
経費,けいひ,けいひ
警部,けいぶ,けいぶ
軽蔑,けいべつ,けいべつ
経歴,けいれき,けいれき
経路,けいろ,けいろ
汚らわしい,けがらわしい,けがらわしい
汚れ,けがれ,けがれ
汚れる,けがれる,けがれる
劇団,げきだん,げきだん
激励,げきれい,げきれい
ゲスト,ゲスト,げすと
ケチ,ケチ,けち
決意,けつい,けつい
血管,けっかん,けっかん
決議,けつぎ,けつぎ
決行,けっこう,けっこう
結合,けつごう,けつごう
決算,けっさん,けっさん
月謝,げっしゃ,げっしゃ
決勝,けっしょう,けっしょう
結晶,けっしょう,けっしょう
結成,けっせい,けっせい
結束,けっそく,けっそく
げっそり,げっそり,げっそり
決断,けつだん,けつだん
月賦,げっぷ,げっぷ
欠乏,けつぼう,けつぼう
けど,けど,けど
蹴飛ばす,けとばす,けとばす
貶す,けなす,けなす
気配,けはい,けはい
煙たい,けむたい,けむたい
煙る,けむる,けむる
獣,けもの,けもの
家来,けらい,けらい
圏,けん,けん
権,けん,けん
原,げん,げん
権威,けんい,けんい
兼業,けんぎょう,けんぎょう
原形,げんけい,げんけい
権限,けんげん,けんげん
現行,げんこう,げんこう
健在,けんざい,けんざい
原作,げんさく,げんさく
検事,けんじ,けんじ
元首,げんしゅ,げんしゅ
原書,げんしょ,げんしょ
懸賞,けんしょう,けんしょう
減少,げんしょう,げんしょう
健全,けんぜん,けんぜん
元素,げんそ,げんそ
現像,げんぞう,げんぞう
原則,げんそく,げんそく
見地,けんち,けんち
現地,げんち,げんち
限定,げんてい,げんてい
原典,げんてん,げんてん
原点,げんてん,げんてん
減点,げんてん,げんてん
現場,げんば,げんば
原爆,げんばく,げんばく
原文,げんぶん,げんぶん
賢明,けんめい,けんめい
倹約,けんやく,けんやく
原油,げんゆ,げんゆ
兼用,けんよう,けんよう
権力,けんりょく,けんりょく
言論,げんろん,げんろん
子,こ,こ
戸,こ,こ
故,こ,こ
御,ご,ご
コーナー,コーナー,こーなー
語彙,ごい,ごい
恋する,こいする,こいする
校,こう,こう
溝,こう,こう
号,ごう,ごう
壕,ごう,ごう
業,ごう,ごう
好意,こうい,こうい
行為,こうい,こうい
合意,ごうい,ごうい
行員,こういん,こういん
交易,こうえき,こうえき
公演,こうえん,こうえん
公開,こうかい,こうかい
後悔,こうかい,こうかい
航海,こうかい,こうかい
抗議,こうぎ,こうぎ
合議,ごうぎ,ごうぎ
豪儀,ごうぎ,ごうぎ
皇居,こうきょ,こうきょ
好況,こうきょう,こうきょう
興業,こうぎょう,こうぎょう
鉱業,こうぎょう,こうぎょう
高原,こうげん,こうげん
交互,こうご,こうご
煌々,こうこう,こうこう
考古学,こうこがく,こうこがく
工作,こうさく,こうさく
耕作,こうさく,こうさく
鉱山,こうざん,こうざん
講習,こうしゅう,こうしゅう
口述,こうじゅつ,こうじゅつ
控除,こうじょ,こうじょ
交渉,こうしょう,こうしょう
高尚,こうしょう,こうしょう
向上,こうじょう,こうじょう
行進,こうしん,こうしん
香辛料,こうしんりょう,こうしんりょう
降水,こうすい,こうすい
洪水,こうずい,こうずい
合成,ごうせい,ごうせい
公然,こうぜん,こうぜん
抗争,こうそう,こうそう
構想,こうそう,こうそう
拘束,こうそく,こうそく
光沢,こうたく,こうたく
公団,こうだん,こうだん
好調,こうちょう,こうちょう
口頭,こうとう,こうとう
講読,こうどく,こうどく
購読,こうどく,こうどく
購入,こうにゅう,こうにゅう
公認,こうにん,こうにん
