kanji,kana,hirakana
歯医者,はいしゃ,はいしゃ
運ぶ,はこぶ,はこぶ
始める,はじめる,はじめる
場所,ばしょ,ばしょ
筈,はず,はず
恥ずかしい,はずかしい,はずかしい
パソコン,パソコン,ぱそこん
発音,はつおん,はつおん
はっきり,はっきり,はっきり
花見,はなみ,はなみ
林,はやし,はやし
払う,はらう,はらう
番組,ばんぐみ,ばんぐみ
反対,はんたい,はんたい
ハンドバッグ,ハンドバッグ,はんどばっぐ
日,ひ,ひ
火,ひ,ひ
ピアノ,ピアノ,ぴあの
冷える,ひえる,ひえる
光,ひかり,ひかり
光る,ひかる,ひかる
引き出し,ひきだし,ひきだし
引き出す,ひきだす,ひきだす
髭,ひげ,ひげ
飛行場,ひこうじょう,ひこうじょう
久しぶり,ひさしぶり,ひさしぶり
美術館,びじゅつかん,びじゅつかん
非常に,ひじょうに,ひじょうに
引っ越す,ひっこす,ひっこす
必要,ひつよう,ひつよう
酷い,ひどい,ひどい
開く,ひらく,ひらく
ビル,ビル,びる
昼間,ひるま,ひるま
昼休み,ひるやすみ,ひるやすみ
拾う,ひろう,ひろう
ファックス,ファックス,ふァっくす
増える,ふえる,ふえる
深い,ふかい,ふかい
複雑,ふくざつ,ふくざつ
復習,ふくしゅう,ふくしゅう
部長,ぶちょう,ぶちょう
普通,ふつう,ふつう
葡萄,ぶどう,ぶどう
太る,ふとる,ふとる
布団,ふとん,ふとん
船,ふね,ふね
不便,ふべん,ふべん
踏む,ふむ,ふむ
降り出す,ふりだす,ふりだす
プレゼント,プレゼント,ぷれぜんと
文化,ぶんか,ぶんか
文学,ぶんがく,ぶんがく
文法,ぶんぽう,ぶんぽう
別,べつ,べつ
ベル,ベル,べる
変,へん,へん
返事,へんじ,へんじ
貿易,ぼうえき,ぼうえき
法律,ほうりつ,ほうりつ
僕,ぼく,ぼく
星,ほし,ほし
殆ど,ほとんど,ほとんど
褒める,ほめる,ほめる
翻訳,ほんやく,ほんやく
参る,まいる,まいる
負ける,まける,まける
又は,または,または
間違える,まちがえる,まちがえる
間に合う,まにあう,まにあう
周り,まわり,まわり
回る,まわる,まわる
漫画,まんが,まんが
真ん中,まんなか,まんなか
見える,みえる,みえる
湖,みずうみ,みずうみ
味噌,みそ,みそ
見つかる,みつかる,みつかる
見つける,みつける,みつける
港,みなと,みなと
皆,みんな,みんな
向かう,むかう,むかう
迎える,むかえる,むかえる
昔,むかし,むかし
虫,むし,むし
息子,むすこ,むすこ
娘,むすめ,むすめ
無理,むり,むり
召し上がる,めしあがる,めしあがる
珍しい,めずらしい,めずらしい
申し上げる,もうしあげる,もうしあげる
申す,もうす,もうす
もう直ぐ,もうすぐ,もうすぐ
若し,もし,もし
戻る,もどる,もどる
木綿,もめん,もめん
森,もり,もり
焼く,やく,やく
約束,やくそく,やくそく
役に立つ,やくにたつ,やくにたつ
焼ける,やける,やける
優しい,やさしい,やさしい
痩せる,やせる,やせる
やっと,やっと,やっと
止む,やむ,やむ
止める,やめる,やめる
柔らかい,やわらかい,やわらかい
湯,ゆ,ゆ
指,ゆび,ゆび
指輪,ゆびわ,ゆびわ
夢,ゆめ,ゆめ
揺れる,ゆれる,ゆれる
用,よう,よう
用意,ようい,ようい
用事,ようじ,ようじ
汚れる,よごれる,よごれる
予習,よしゅう,よしゅう
予定,よてい,よてい
予約,よやく,よやく
寄る,よる,よる
喜ぶ,よろこぶ,よろこぶ
理由,りゆう,りゆう
利用,りよう,りよう
両方,りょうほう,りょうほう
旅館,りょかん,りょかん
留守,るす,るす
冷房,れいぼう,れいぼう
歴史,れきし,れきし
レジ,レジ,れじ
レポート,レポート,れぽーと
連絡,れんらく,れんらく
ワープロ,ワープロ,わーぷろ
沸かす,わかす,わかす
別れる,わかれる,わかれる
沸く,わく,わく
訳,わけ,わけ
忘れ物,わすれもの,わすれもの
笑う,わらう,わらう
割合,わりあい,わりあい
割れる,われる,われる
