kanji,kana,hirakana
男の子,おとこのこ,おとこのこ
一昨日,おととい,おととい
大人,おとな,おとな
お腹,おなか,おなか
同じ,おなじ,おなじ
お兄さん,おにいさん,おにいさん
お姉さん,おねえさん,おねえさん
お祖母さん,おばあさん,おばあさん
伯母さん,おばさん,おばさん
お風呂,おふろ,おふろ
お弁当,おべんとう,おべんとう
覚える,おぼえる,おぼえる
お巡りさん,おまわりさん,おまわりさん
重い,おもい,おもい
面白い,おもしろい,おもしろい
泳ぐ,およぐ,およぐ
降りる,おりる,おりる
終わる,おわる,おわる
音楽,おんがく,おんがく
女,おんな,おんな
女の子,おんなのこ,おんなのこ
外国,がいこく,がいこく
外国人,がいこくじん,がいこくじん
会社,かいしゃ,かいしゃ
階段,かいだん,かいだん
買い物,かいもの,かいもの
買う,かう,かう
返す,かえす,かえす
帰る,かえる,かえる
掛かる,かかる,かかる
鍵,かぎ,かぎ
書く,かく,かく
学生,がくせい,がくせい
掛ける,かける,かける
傘,かさ,かさ
貸す,かす,かす
風,かぜ,かぜ
風邪,かぜ,かぜ
家族,かぞく,かぞく
方,かた,かた
学校,がっこう,がっこう
カップ,カップ,かっぷ
家庭,かてい,かてい
角,かど,かど
鞄,かばん,かばん
花瓶,かびん,かびん
紙,かみ,かみ
カメラ,カメラ,かめら
火曜日,かようび,かようび
辛い,からい,からい
体,からだ,からだ
借りる,かりる,かりる
軽い,かるい,かるい
咖哩,カレー,かれー
カレンダー,カレンダー,かれんだー
川,かわ,かわ
可愛い,かわいい,かわいい
漢字,かんじ,かんじ
木,き,き
黄色,きいろ,きいろ
黄色い,きいろい,きいろい
消える,きえる,きえる
聞く,きく,きく
北,きた,きた
ギター,ギター,ぎたー
汚い,きたない,きたない
喫茶店,きっさてん,きっさてん
切手,きって,きって
切符,きっぷ,きっぷ
昨日,きのう,きのう
牛肉,ぎゅうにく,ぎゅうにく
牛乳,ぎゅうにゅう,ぎゅうにゅう
今日,きょう,きょう
教室,きょうしつ,きょうしつ
兄弟,きょうだい,きょうだい
去年,きょねん,きょねん
嫌い,きらい,きらい
切る,きる,きる
着る,きる,きる
綺麗,きれい,きれい
キロ,キロ,きろ
瓩,キログラム,きろぐらむ
粁,キロメートル,きろめーとる
銀行,ぎんこう,ぎんこう
金曜日,きんようび,きんようび
薬,くすり,くすり
下さい,ください,ください
果物,くだもの,くだもの
口,くち,くち
靴,くつ,くつ
靴下,くつした,くつした
国,くに,くに
曇り,くもり,くもり
曇る,くもる,くもる
暗い,くらい,くらい
クラス,クラス,くらす
瓦,グラム,ぐらむ
来る,くる,くる
車,くるま,くるま
黒,くろ,くろ
黒い,くろい,くろい
警官,けいかん,けいかん
今朝,けさ,けさ
消す,けす,けす
結構,けっこう,けっこう
結婚,けっこん,けっこん
月曜日,げつようび,げつようび
玄関,げんかん,げんかん
元気,げんき,げんき
五,ご,ご
コート,コート,こーと
珈琲,コーヒー,こーひー
公園,こうえん,こうえん
交差点,こうさてん,こうさてん
紅茶,こうちゃ,こうちゃ
交番,こうばん,こうばん
声,こえ,こえ
此処,ここ,ここ
午後,ごご,ごご
九日,ここのか,ここのか
九つ,ここのつ,ここのつ
午前,ごぜん,ごぜん
答える,こたえる,こたえる
此方,こちら,こちら
コップ,コップ,こっぷ
今年,ことし,ことし
言葉,ことば,ことば
子供,こども,こども
此の,この,この
ご飯,ごはん,ごはん
コピー,コピー,こぴー
困る,こまる,こまる
此れ,これ,これ
今月,こんげつ,こんげつ
今週,こんしゅう,こんしゅう
こんな,こんな,こんな
今晩,こんばん,こんばん
さあ,さあ,さあ
財布,さいふ,さいふ
魚,さかな,さかな
先,さき,さき
咲く,さく,さく
差す,さす,さす
雑誌,ざっし,ざっし
砂糖,さとう,さとう
寒い,さむい,さむい
再来年,さらいねん,さらいねん
三,さん,さん
三,サン,さん
散歩,さんぽ,さんぽ
四,し,し
塩,しお,しお
然し,しかし,しかし
時間,じかん,じかん
仕事,しごと,しごと
辞書,じしょ,じしょ
静か,しずか,しずか
下,した,した
七,しち,しち
質問,しつもん,しつもん
自転車,じてんしゃ,じてんしゃ
自動車,じどうしゃ,じどうしゃ
死ぬ,しぬ,しぬ
字引,じびき,じびき
自分,じぶん,じぶん
閉まる,しまる,しまる
締める,しめる,しめる
閉める,しめる,しめる
じゃあ,じゃあ,じゃあ
写真,しゃしん,しゃしん
シャツ,シャツ,しゃつ
シャワー,シャワー,しゃわー
十,じゅう,じゅう
授業,じゅぎょう,じゅぎょう
宿題,しゅくだい,しゅくだい
上手,じょうず,じょうず
丈夫,じょうぶ,じょうぶ
醤油,しょうゆ,しょうゆ
食堂,しょくどう,しょくどう
知る,しる,しる
白,しろ,しろ
白い,しろい,しろい
新聞,しんぶん,しんぶん
水曜日,すいようび,すいようび
吸う,すう,すう
スカート,スカート,すかーと
好き,すき,すき
少ない,すくない,すくない
直ぐに,すぐに,すぐに
少し,すこし,すこし
涼しい,すずしい,すずしい
ストーブ,ストーブ,すとーぶ
スプーン,スプーン,すぷーん
スポーツ,スポーツ,すぽーつ
ズボン,ズボン,ずぼん
住む,すむ,すむ
スリッパ,スリッパ,すりっぱ
為る,する,する
座る,すわる,すわる
背,せ,せ
セーター,セーター,せーたー
生徒,せいと,せいと
石鹸,せっけん,せっけん
背広,せびろ,せびろ
狭い,せまい,せまい
千,せん,せん
先月,せんげつ,せんげつ
先週,せんしゅう,せんしゅう
先生,せんせい,せんせい
洗濯,せんたく,せんたく
全部,ぜんぶ,ぜんぶ
掃除,そうじ,そうじ
然うして,そうして,そうして
其処,そこ,そこ
然して,そして,そして
其方,そちら,そちら
外,そと,そと
其の,その,その
側,そば,そば
空,そら,そら
其れ,それ,それ
其れから,それから,それから
其れでは,それでは,それでは
大学,だいがく,だいがく
大使館,たいしかん,たいしかん
大丈夫,だいじょうぶ,だいじょうぶ
大好き,だいすき,だいすき
大切,たいせつ,たいせつ
台所,だいどころ,だいどころ
大変,たいへん,たいへん
高い,たかい,たかい
沢山,たくさん,たくさん
タクシー,タクシー,たくしー
出す,だす,だす
立つ,たつ,たつ
縦,たて,たて
建物,たてもの,たてもの
楽しい,たのしい,たのしい
頼む,たのむ,たのむ
煙草,たばこ,たばこ
多分,たぶん,たぶん
食べ物,たべもの,たべもの
食べる,たべる,たべる
卵,たまご,たまご
誰,だれ,だれ
誰か,だれか,だれか
誕生日,たんじょうび,たんじょうび
段々,だんだん,だんだん
小さい,ちいさい,ちいさい
小さな,ちいさな,ちいさな
近い,ちかい,ちかい
違う,ちがう,ちがう
近く,ちかく,ちかく
地下鉄,ちかてつ,ちかてつ
地図,ちず,ちず
茶色,ちゃいろ,ちゃいろ
茶碗,ちゃわん,ちゃわん
丁度,ちょうど,ちょうど
一寸,ちょっと,ちょっと
一日,ついたち,ついたち
使う,つかう,つかう
疲れる,つかれる,つかれる
次,つぎ,つぎ
着く,つく,つく
机,つくえ,つくえ
作る,つくる,つくる
付ける,つける,つける
勤める,つとめる,つとめる
詰らない,つまらない,つまらない
冷たい,つめたい,つめたい
強い,つよい,つよい
手,て,て
テープ,テープ,てーぷ
テーブル,テーブル,てーぶる
テープレコーダー,テープレコーダー,てーぷれこーだー
出かける,でかける,でかける
手紙,てがみ,てがみ
出来る,できる,できる
出口,でぐち,でぐち
テスト,テスト,てすと
では,では,では
デパート,デパート,でぱーと
でも,でも,でも
出る,でる,でる
テレビ,テレビ,てれび
天気,てんき,てんき
電気,でんき,でんき
電車,でんしゃ,でんしゃ
電話,でんわ,でんわ
戸,と,と
ドア,ドア,どあ
トイレ,トイレ,といれ
如何,どう,どう
如何して,どうして,どうして
どうぞ,どうぞ,どうぞ
動物,どうぶつ,どうぶつ
どうも,どうも,どうも
遠い,とおい,とおい
十日,とおか,とおか
時々,ときどき,ときどき
時計,とけい,とけい
何処,どこ,どこ
所,ところ,ところ
年,とし,とし
図書館,としょかん,としょかん
何方,どちら,どちら
迚も,とても,とても
何方,どなた,どなた
隣,となり,となり
何の,どの,どの
飛ぶ,とぶ,とぶ
止まる,とまる,とまる
友達,ともだち,ともだち
土曜日,どようび,どようび
鳥,とり,とり
鳥肉,とりにく,とりにく
取る,とる,とる
撮る,とる,とる
何れ,どれ,どれ
ナイフ,ナイフ,ないふ
中,なか,なか
長い,ながい,ながい
鳴く,なく,なく
無くす,なくす,なくす
何故,なぜ,なぜ
夏,なつ,なつ
夏休み,なつやすみ,なつやすみ
等,など,など
七つ,ななつ,ななつ
何,なに,なに
七日,なのか,なのか
名前,なまえ,なまえ
習う,ならう,ならう
並ぶ,ならぶ,ならぶ
並べる,ならべる,ならべる
成る,なる,なる
二,に,に
賑やか,にぎやか,にぎやか
肉,にく,にく
西,にし,にし
日曜日,にちようび,にちようび
荷物,にもつ,にもつ
ニュース,ニュース,にゅーす
庭,にわ,にわ
脱ぐ,ぬぐ,ぬぐ
温い,ぬるい,ぬるい
ネクタイ,ネクタイ,ねくたい
猫,ねこ,ねこ
寝る,ねる,ねる
ノート,ノート,のーと
上る,のぼる,のぼる
飲み物,のみもの,のみもの
飲む,のむ,のむ
乗る,のる,のる
歯,は,は
パーティ,パーティ,ぱーてぃ
はい,はい,はい
灰皿,はいざら,はいざら
入る,はいる,はいる
葉書,はがき,はがき
箱,はこ,はこ
橋,はし,はし
箸,はし,はし
始まる,はじまる,はじまる
始め,はじめ,はじめ
初めて,はじめて,はじめて
走る,はしる,はしる
バス,バス,ばす
バター,バター,ばたー
二十歳,はたち,はたち
働く,はたらく,はたらく
八,はち,はち
二十日,はつか,はつか
花,はな,はな
鼻,はな,はな
話,はなし,はなし
話す,はなす,はなす
早い,はやい,はやい
張る,はる,はる
春,はる,はる
晴れ,はれ,はれ
晴れる,はれる,はれる
半,はん,はん
晩,ばん,ばん
パン,パン,ぱん
ハンカチ,ハンカチ,はんかち
番号,ばんごう,ばんごう
晩御飯,ばんごはん,ばんごはん
半分,はんぶん,はんぶん
東,ひがし,ひがし
引く,ひく,ひく
弾く,ひく,ひく
低い,ひくい,ひくい
飛行機,ひこうき,ひこうき
左,ひだり,ひだり
人,ひと,ひと
一つ,ひとつ,ひとつ
一月,ひとつき,ひとつき
一人,ひとり,ひとり
暇,ひま,ひま
百,ひゃく,ひゃく
病院,びょういん,びょういん
病気,びょうき,びょうき
昼,ひる,ひる
昼ご飯,ひるごはん,ひるごはん
広い,ひろい,ひろい
プール,プール,ぷーる
フィルム,フィルム,ふぃるむ
封筒,ふうとう,ふうとう
フォーク,フォーク,ふぉーく
吹く,ふく,ふく
服,ふく,ふく
二つ,ふたつ,ふたつ
豚肉,ぶたにく,ぶたにく
二人,ふたり,ふたり
二日,ふつか,ふつか
太い,ふとい,ふとい
冬,ふゆ,ふゆ
降る,ふる,ふる
古い,ふるい,ふるい
風呂,ふろ,ふろ
文章,ぶんしょう,ぶんしょう
頁,ページ,ぺーじ
下手,へた,へた
ベッド,ベッド,べっど
ペット,ペット,ぺっと
部屋,へや,へや
辺,へん,へん
ペン,ペン,ぺん
勉強,べんきょう,べんきょう
便利,べんり,べんり
ボールペン,ボールペン,ぼーるぺん
帽子,ぼうし,ぼうし
他,ほか,ほか
ポケット,ポケット,ぽけっと
欲しい,ほしい,ほしい
ポスト,ポスト,ぽすと
細い,ほそい,ほそい
ボタン,ボタン,ぼたん
ホテル,ホテル,ほてる
本,ほん,ほん
本棚,ほんだな,ほんだな
本当,ほんとう,ほんとう
毎朝,まいあさ,まいあさ
毎週,まいしゅう,まいしゅう
毎月,まいつき,まいつき
毎年,まいとし,まいとし
毎日,まいにち,まいにち
毎晩,まいばん,まいばん
前,まえ,まえ
曲がる,まがる,まがる
不味い,まずい,まずい
又,また,また
未だ,まだ,まだ
町,まち,まち
待つ,まつ,まつ
真っ直ぐ,まっすぐ,まっすぐ
マッチ,マッチ,まっち
燐寸,マッチ,まっち
窓,まど,まど
丸い,まるい,まるい
万,まん,まん
万年筆,まんねんひつ,まんねんひつ
磨く,みがく,みがく
右,みぎ,みぎ
短い,みじかい,みじかい
